prime,label,n_pow,n,build_tree_ms,interp_pre_ms,interp_core_avg_ms,interp_core_min_ms,interp_core_max_ms,interp_avg_ms,interp_min_ms,interp_max_ms,interp_ms_per_point,fingerprint
M31,M31,10,1024,3.229,7.608,3.368,3.337,3.390,10.976,10.945,10.998,0.010718734,cdbc94804b1f6b4d
M31,M31,11,2048,4.759,12.905,4.616,4.588,4.652,17.521,17.493,17.557,0.008555348,893a7def8f0b1dd5
M31,M31,12,4096,8.193,31.424,10.784,10.752,10.845,42.208,42.175,42.269,0.010304614,b30b0f3b3cd53b02
M31,M31,13,8192,19.563,81.804,25.253,24.828,26.016,107.057,106.632,107.820,0.013068507,88770e3589672fb3
M31,M31,14,16384,46.995,204.185,58.700,57.689,59.452,262.885,261.875,263.637,0.016045252,45b0b8679fed0425
M31,M31,15,32768,112.741,508.773,135.834,135.250,136.461,644.607,644.024,645.234,0.019671841,3c7f1c535bdf0a54
M31,M31,16,65536,267.109,1227.507,309.090,307.977,309.863,1536.597,1535.485,1537.370,0.023446610,809f0f33707c042a
M31,M31,17,131072,618.198,2947.710,704.557,701.270,706.544,3652.267,3648.981,3654.254,0.027864587,667529d1e463bab2
M31,M31,18,262144,1423.080,6909.911,1601.955,1598.162,1604.092,8511.866,8508.073,8514.003,0.032470192,4e03689eea558c80
M31,M31,19,524288,3210.053,16066.714,3613.983,3604.583,3620.696,19680.697,19671.297,19687.410,0.037537951,a01ab307a42325a3
M31,M31,20,1048576,7386.049,37339.325,8137.434,8102.328,8166.591,45476.759,45441.653,45505.916,0.043370017,f82a4de31dc86d7a
prime,label,n_pow,n,build_tree_ms,interp_pre_ms,interp_core_avg_ms,interp_core_min_ms,interp_core_max_ms,interp_avg_ms,interp_min_ms,interp_max_ms,interp_ms_per_point,fingerprint
M61,M61,10,1024,2.376,5.157,2.571,2.565,2.575,7.728,7.721,7.732,0.007546805,7c49396d2d54cb1c
M61,M61,11,2048,6.010,17.191,6.604,6.540,6.708,23.795,23.732,23.900,0.011618717,9f48c9918b7713a8
M61,M61,12,4096,14.452,48.674,15.362,15.319,15.411,64.036,63.993,64.085,0.015633724,63b3dd18c6fb7049
M61,M61,13,8192,34.238,126.052,35.713,35.599,35.886,161.765,161.651,161.938,0.019746734,3329dd9d11bb6a38
M61,M61,14,16384,78.618,315.614,82.225,82.198,82.275,397.839,397.812,397.889,0.024282172,17807637aee685b5
M61,M61,15,32768,180.960,760.166,187.736,187.653,187.865,947.903,947.819,948.031,0.028927696,4600b87ff96042f
M61,M61,16,65536,415.031,1809.833,436.595,426.981,449.033,2246.428,2236.814,2258.866,0.034277774,b91d3e140e023402
M61,M61,17,131072,932.316,4260.781,963.701,960.782,969.432,5224.481,5221.562,5230.212,0.039859628,417e80474aa11ae3
M61,M61,18,262144,2134.739,9824.705,2161.116,2159.770,2163.797,11985.820,11984.475,11988.502,0.045722276,b5153a7e193235d
M61,M61,19,524288,4766.999,23214.899,4959.935,4954.587,4966.220,28174.835,28169.486,28181.119,0.053739232,9bd68f7349c57ef
M61,M61,20,1048576,10881.789,52881.436,11107.926,11100.623,11113.167,63989.361,63982.058,63994.603,0.061025010,b95ec57334eb033c
