prime,label,n_pow,n,build_tree_ms,interp_pre_ms,interp_core_avg_ms,interp_core_min_ms,interp_core_max_ms,interp_avg_ms,interp_min_ms,interp_max_ms,interp_ms_per_point,fingerprint
M31,M31-naive,10,1024,0.000,0.000,46.111,46.111,46.111,46.111,46.111,46.111,0.045030674,65994a234b9a61a1
M31,M31-naive,11,2048,0.000,0.000,182.679,182.679,182.679,182.679,182.679,182.679,0.089198594,3d4d727a91f8b86a
M31,M31-naive,12,4096,0.000,0.000,728.943,728.943,728.943,728.943,728.943,728.943,0.177964720,c0d4c3f283e91639
M31,M31-naive,13,8192,0.000,0.000,2909.264,2909.264,2909.264,2909.264,2909.264,2909.264,0.355134785,80a05305f440c0a4
M31,M31-naive,14,16384,0.000,0.000,11762.031,11762.031,11762.031,11762.031,11762.031,11762.031,0.717897417,51f4c14b66c62709
M31,M31-naive,15,32768,0.000,0.000,47558.256,47558.256,47558.256,47558.256,47558.256,47558.256,1.451362804,17b162bf7e1d2594
M31,M31-naive,16,65536,0.000,0.000,182492.385,182492.385,182492.385,182492.385,182492.385,182492.385,2.784612807,51742a446c2fcab
M61,M61-naive,10,1024,0.000,0.000,36.177,36.177,36.177,36.177,36.177,36.177,0.035329410,ab3324d60fa48dfe
M61,M61-naive,11,2048,0.000,0.000,143.587,143.587,143.587,143.587,143.587,143.587,0.070110673,54377a687eb8b99f
M61,M61-naive,12,4096,0.000,0.000,573.046,573.046,573.046,573.046,573.046,573.046,0.139903906,a2888677b00e7877
M61,M61-naive,13,8192,0.000,0.000,2287.584,2287.584,2287.584,2287.584,2287.584,2287.584,0.279246133,ebd92041a716bdd7
M61,M61-naive,14,16384,0.000,0.000,9128.138,9128.138,9128.138,9128.138,9128.138,9128.138,0.557137315,a85e57355bc455ca
M61,M61-naive,15,32768,0.000,0.000,36591.766,36591.766,36591.766,36591.766,36591.766,36591.766,1.116692066,1e5bd126c1299216
M61,M61-naive,16,65536,0.000,0.000,146734.265,146734.265,146734.265,146734.265,146734.265,146734.265,2.238987202,acc3d0aac187a62e
