prime,op,n_pow,n,avg_ms,min_ms,max_ms,ms_per_item,fingerprint
M31,subproduct_build,8,256,0.364,0.345,0.394,0.001421866,ed078b4d771c4afe
M31,poly_mul,8,256,0.163,0.155,0.177,0.000635039,620605a620037874
M31,poly_divrem,8,256,0.535,0.532,0.542,0.002089966,88fb2c8e8f513df6
M31,poly_mod,8,256,0.513,0.460,0.543,0.002002751,ccba79f905e53caf
M31,derivative,8,256,0.003,0.003,0.003,0.000011055,f69f1a08af618f5d
M31,multipoint_eval_tree,8,256,0.543,0.539,0.550,0.002122378,1672cd0469b737ad
M31,batch_inv,8,256,0.007,0.007,0.008,0.000028190,4e234bdfb44b2b6a
M31,subproduct_build,9,512,0.844,0.814,0.897,0.001647841,7f881a65cc2392f6
M31,poly_mul,9,512,0.275,0.273,0.280,0.000537792,6bf856379fd94e1b
M31,poly_divrem,9,512,1.406,1.388,1.438,0.002745768,1006594b4b626a3
M31,poly_mod,9,512,1.394,1.389,1.404,0.002722368,8182cb5b61eeb91b
M31,derivative,9,512,0.005,0.005,0.006,0.000010710,2c3f1c155699eaaa
M31,multipoint_eval_tree,9,512,1.710,1.210,1.968,0.003339505,955fa99f7bbb6475
M31,batch_inv,9,512,0.008,0.008,0.008,0.000015430,c8c67593264024bc
M31,subproduct_build,10,1024,1.288,1.251,1.350,0.001257644,734d8e9a379f9249
M31,poly_mul,10,1024,0.337,0.334,0.342,0.000329086,7df72e51ab8ef1d9
M31,poly_divrem,10,1024,1.784,1.778,1.795,0.001742436,d22a10393805fdc1
M31,poly_mod,10,1024,1.768,1.759,1.772,0.001726293,8f3e107337031a86
M31,derivative,10,1024,0.006,0.006,0.006,0.000006058,9faa2a03936c13f1
M31,multipoint_eval_tree,10,1024,3.896,3.888,3.901,0.003804618,9c73fea849a453a5
M31,batch_inv,10,1024,0.016,0.015,0.016,0.000015137,c6b120820398c34b
M31,subproduct_build,11,2048,3.219,3.131,3.373,0.001571790,da1f45b344b2da5c
M31,poly_mul,11,2048,0.725,0.725,0.726,0.000354145,1a2718ed9dc1e8c5
M31,poly_divrem,11,2048,3.855,3.845,3.873,0.001882214,1551128b3968cc12
M31,poly_mod,11,2048,3.853,3.844,3.868,0.001881241,401b3c0872585ca
M31,derivative,11,2048,0.012,0.012,0.013,0.000006050,bb4cfb958034e87b
M31,multipoint_eval_tree,11,2048,11.397,11.379,11.425,0.005565183,9de7d27ceb3f2b79
M31,batch_inv,11,2048,0.031,0.031,0.031,0.000015072,c5ac0657c9f25fd0
M31,subproduct_build,12,4096,7.938,7.775,8.194,0.001937915,aba5a16dd1af857d
M31,poly_mul,12,4096,1.520,1.515,1.528,0.000371035,af37e17bb47a7c5f
