prime,op,n_pow,n,avg_ms,min_ms,max_ms,ms_per_item,fingerprint
M31,subproduct_build,8,256,0.082,0.053,0.138,0.000319355,cdec656befe8de59
M31,poly_mul,8,256,0.032,0.027,0.039,0.000123103,3a63560363c72355
M31,poly_divrem,8,256,0.155,0.145,0.173,0.000604767,cec2c2461d7baee8
M31,poly_mod,8,256,0.152,0.146,0.165,0.000593828,d5515fc197a9c727
M31,derivative,8,256,0.002,0.002,0.003,0.000009168,3101f0f9ba8f6247
M31,multipoint_eval,8,256,0.258,0.252,0.264,0.001006128,c8a5ddf6dea459b0
M31,batch_inv,8,256,0.008,0.008,0.008,0.000031980,3a97fb3a26dd13b1
M31,subproduct_build,9,512,0.128,0.118,0.133,0.000249081,cdebdbfd48544e87
M31,poly_mul,9,512,0.072,0.058,0.098,0.000140094,2efd7351e0c8a5bf
M31,poly_divrem,9,512,0.334,0.313,0.373,0.000651844,4f874863f367c981
M31,poly_mod,9,512,0.316,0.313,0.321,0.000616485,fab21f1ed2cacf33
M31,derivative,9,512,0.004,0.003,0.004,0.000006908,ed7c8da69af98e71
M31,multipoint_eval,9,512,0.718,0.687,0.750,0.001403020,4676d83f1a691030
M31,batch_inv,9,512,0.013,0.013,0.013,0.000025854,f1d254751182bdb2
M31,subproduct_build,10,1024,0.279,0.278,0.281,0.000272271,cdb85a5c134550bd
M31,poly_mul,10,1024,0.153,0.150,0.158,0.000149248,20ca9f4efeac620a
M31,poly_divrem,10,1024,0.816,0.801,0.837,0.000796886,fbe78a3e78b59997
M31,poly_mod,10,1024,0.812,0.808,0.817,0.000792537,3cc2ab4f537f3ba5
M31,derivative,10,1024,0.007,0.007,0.007,0.000006787,d4ddd915bb21acb7
M31,multipoint_eval,10,1024,2.134,2.116,2.160,0.002084281,287082e793ed1e6e
M31,batch_inv,10,1024,0.028,0.026,0.032,0.000027347,8d1d7d0f294e1bb3
M31,subproduct_build,11,2048,0.618,0.412,0.723,0.000301809,cccd020e5dd16d0b
M31,poly_mul,11,2048,0.263,0.254,0.277,0.000128177,d052e67f836c4155
M31,poly_divrem,11,2048,1.229,1.222,1.243,0.000600230,421397c1d649169d
M31,poly_mod,11,2048,1.231,1.229,1.235,0.000601242,f7cef89d2dbb9381
M31,derivative,11,2048,0.008,0.008,0.008,0.000003908,33cc107e4987a99e
M31,multipoint_eval,11,2048,3.519,3.506,3.539,0.001718111,2c5d76f586da54ce
M31,batch_inv,11,2048,0.030,0.030,0.031,0.000014874,d2cc79100e55448e
M31,subproduct_build,12,4096,1.102,1.085,1.130,0.000269057,cd5577f06afbe26b
M31,poly_mul,12,4096,0.670,0.665,0.676,0.000163527,d2bdab5a27ee22ba
M31,poly_divrem,12,4096,3.364,3.236,3.450,0.000821260,df2535b908368040
M31,poly_mod,12,4096,3.347,3.222,3.449,0.000817130,cac2513d20596e0
M31,derivative,12,4096,0.017,0.016,0.017,0.000004053,2ed019d911431486
M31,multipoint_eval,12,4096,9.679,9.649,9.732,0.002363027,fb5c21edfb9c8fbd
M31,batch_inv,12,4096,0.061,0.060,0.061,0.000014777,95b7a30b6564dc9d
M31,subproduct_build,13,8192,2.852,2.826,2.898,0.000348099,ccc5a17254b27411
M31,poly_mul,13,8192,1.672,1.652,1.707,0.000204160,3dc499ba419b1d67
M31,poly_divrem,13,8192,7.249,6.937,7.821,0.000884829,86c582c2ccbe745f
M31,poly_mod,13,8192,6.938,6.930,6.944,0.000846891,d9fa07705efb518a
M31,derivative,13,8192,0.033,0.033,0.033,0.000004006,2640d1be47ead498
M31,multipoint_eval,13,8192,25.879,25.530,26.471,0.003159043,87eaf12d651fc35c
M31,batch_inv,13,8192,0.121,0.121,0.121,0.000014767,3cf330ede7293cfe
M31,subproduct_build,14,16384,6.853,6.847,6.862,0.000418283,cd55dde89fd8c134
M31,poly_mul,14,16384,3.616,3.407,3.846,0.000220703,169e81f00a14181b
M31,poly_divrem,14,16384,17.240,17.005,17.603,0.001052252,ac09e0aba1e3a3d6
M31,poly_mod,14,16384,17.248,16.957,17.822,0.001052735,f46d2b934e5a4885
M31,derivative,14,16384,0.065,0.065,0.066,0.000003966,cabe81797345cc36
M31,multipoint_eval,14,16384,67.035,66.675,67.754,0.004091489,8dba4333a87522fb
M31,batch_inv,14,16384,0.242,0.241,0.242,0.000014748,30856596b2d1aa30
M31,subproduct_build,15,32768,17.908,17.293,18.817,0.000546517,e32ce3bd6a9dcaa7
M31,poly_mul,15,32768,8.423,8.306,8.612,0.000257047,1b6cbf53c566912c
M31,poly_divrem,15,32768,36.826,36.359,37.281,0.001123848,8649901948cd57a5
M31,poly_mod,15,32768,36.679,36.359,37.312,0.001119342,2681e5688095673a
M31,derivative,15,32768,0.130,0.127,0.136,0.000003972,d6f056c81880d387
M31,multipoint_eval,15,32768,167.621,167.082,168.177,0.005115379,646f2767c6960530
M31,batch_inv,15,32768,0.498,0.492,0.510,0.000015211,720bd284db2dba5a
M31,subproduct_build,16,65536,43.862,43.407,44.281,0.000669282,ccc25c79967707c9
M31,poly_mul,16,65536,18.066,17.602,18.551,0.000275669,2ea7558922cb7259
M31,poly_divrem,16,65536,81.747,80.881,82.489,0.001247359,2b79e88d54df31cb
M31,poly_mod,16,65536,81.273,80.593,81.680,0.001240130,d00417a02a8be30c
M31,derivative,16,65536,0.257,0.256,0.258,0.000003922,e15974ab81df1217
M31,multipoint_eval,16,65536,406.807,406.484,407.091,0.006207389,f92b686da9f4bcae
M31,batch_inv,16,65536,0.972,0.971,0.973,0.000014835,b76d511f45c8f504
M31,subproduct_build,17,131072,103.664,102.773,104.137,0.000790891,cd2a6f7e707aaafc
M31,poly_mul,17,131072,40.272,39.433,41.019,0.000307254,2f5915b58a80a1f2
M31,poly_divrem,17,131072,186.811,185.732,188.639,0.001425255,68d091797d45481c
M31,poly_mod,17,131072,186.629,185.808,187.062,0.001423867,282efcc2e0a00dbf
M31,derivative,17,131072,0.519,0.515,0.522,0.000003963,86dac8e787ec9c6
M31,multipoint_eval,17,131072,975.968,974.921,977.198,0.007446046,f24a94b061e603cd
M31,batch_inv,17,131072,1.955,1.944,1.972,0.000014912,f03eb745e05d8830
M31,subproduct_build,18,262144,243.176,242.678,243.768,0.000927642,cc4a192e6d66d35f
M31,poly_mul,18,262144,85.743,84.003,86.910,0.000327083,d114abc6c40870e5
M31,poly_divrem,18,262144,451.963,448.595,455.131,0.001724103,a40fb56b7eb7e995
M31,poly_mod,18,262144,451.267,451.073,451.440,0.001721448,e0f6b6cdc73886b9
M31,derivative,18,262144,1.038,1.037,1.038,0.000003958,b4cc59d58297585
M31,multipoint_eval,18,262144,2336.332,2334.255,2337.924,0.008912400,1b7c158e936e6465
M31,batch_inv,18,262144,3.891,3.888,3.893,0.000014842,e6a0cef61581a1c2
M31,subproduct_build,19,524288,561.746,561.576,562.004,0.001071446,cb36f7051295c020
M31,poly_mul,19,524288,247.861,245.151,249.570,0.000472757,f91735fd65fefbcb
M31,poly_divrem,19,524288,988.957,985.480,994.055,0.001886285,54f4fec5d6ee784f
M31,poly_mod,19,524288,986.074,983.922,988.285,0.001880788,3beeb36acbb41b09
M31,derivative,19,524288,2.079,2.071,2.088,0.000003966,f9d6ce216b2ca25b
M31,multipoint_eval,19,524288,5537.195,5514.535,5571.970,0.010561360,6e32a94f5ffdc61f
M31,batch_inv,19,524288,7.768,7.761,7.773,0.000014816,f838f53f509aeb82
M31,subproduct_build,20,1048576,1354.806,1346.317,1367.143,0.001292043,dbb80bfb6ec7e16d
M31,poly_mul,20,1048576,509.680,504.940,512.437,0.000486068,d981bb19be11ab4c
M31,poly_divrem,20,1048576,2183.964,2179.846,2187.895,0.002082790,3bf2efafa1bcb97c
M31,poly_mod,20,1048576,2183.605,2181.295,2185.489,0.002082448,7bbdeec1a8e3e2
M31,derivative,20,1048576,4.155,4.141,4.164,0.000003963,df29ff70e21cad57
M31,multipoint_eval,20,1048576,13076.214,13067.181,13082.752,0.012470450,dbfb820a50c0092b
M31,batch_inv,20,1048576,15.559,15.535,15.602,0.000014838,ed0307409c2e0245
M61,subproduct_build,8,256,0.039,0.036,0.047,0.000154210,45ac9a257d018aa7
M61,poly_mul,8,256,0.031,0.029,0.035,0.000120810,2c125fa6d505545e
M61,poly_divrem,8,256,0.109,0.107,0.111,0.000424464,21625abdd796f043
M61,poly_mod,8,256,0.106,0.106,0.107,0.000415465,873ab55f29e0de9f
M61,derivative,8,256,0.001,0.001,0.001,0.000004714,60fea6e199297606
M61,multipoint_eval,8,256,0.158,0.157,0.160,0.000617697,84ae107adabd91d
